material_id,composition,pretty_formula,final_energy,e_above_hull,icsd_ids,spacegroup_number,last_updated
mp-1105994,Th8Se12,Th2Se3,-135.3193191,0,[652026],62,59:33.2
mp-1106023,Ni4Sb12,NiSb3,-74.92546891,0,"[190327, 190324]",204,58:22.3
mp-1106061,Ca12Pd4,Ca3Pd,-51.87794,0,[619504],62,58:22.3
mp-1120821,V8Bi6,V4Bi3,-92.39331146,0.258438783,[],12,59:35.3
mp-1103515,Na2U1Te2O10,Na2U(TeO5)2,-95.69839236,0.015428775,[],12,59:31.0
mp-1103591,Ba1Tm1Fe4O7,BaTmFe4O7,-89.58891015,0.073586059,[250999],82,58:20.4
mp-1104205,Ba1Er1Fe4O7,BaErFe4O7,-89.68197946,0.066639983,[250998],82,58:20.4
mp-1104220,K4Mo2S2O6,K2MoSO3,-79.08501299,0.077415995,[423989],12,59:31.0
mp-1104265,K3Tm1V2O8,K3TmV2O8,-95.06028536,0,[248850],164,59:31.0
mp-1104363,K3Sc1V2O8,K3ScV2O8,-96.34771397,0,[248844],164,56:43.3
mp-1104582,Ni1P3N1O9,NiP3NO9,-90.58606412,0.444096426,[15708],155,58:20.4
mp-1105005,Ni6Se8Cl4O20,Ni3Se4(ClO5)2,-184.4326619,0,[239333],12,58:20.4
mp-1105180,Sr4Sb4Se6O4,Sr2Sb2Se3O2,-91.38303738,0,[430932],14,59:31.0
mp-1105627,As2Pb4Cl4O6,AsPb2Cl2O3,-78.63919032,0.172165901,"[188917, 67314]",11,58:22.3
mp-1181130,I4O24,IO6,-100.3997324,0.662494683,"[15398, 25791]",14,59:48.0
mp-1186478,Pm2Tl1Hg1,Pm2TlHg,-13.87102983,0,[],225,58:29.7
mp-1186884,Rb1Mg1O3,RbMgO3,-22.35543675,0.4063549,[],221,59:52.4
mp-1187070,Sr2Cu1Pt1,Sr2CuPt,-15.0960388,0.121449703,[],225,58:31.6
mp-1188168,C4N4O10,C2N2O5,-125.7783355,0.576928091,"[64939, 64926, 64933]",18,58:31.6
mp-1188262,Tb4Sc4S12,TbScS3,-133.2992437,0.003752365,[],62,58:31.6
mp-1188271,Er6Ir1I10,Er6IrI10,-72.79673165,4.39E-05,[424428],2,58:31.6
mp-1188282,Fe4Co8B4,FeCo2B,-120.7093937,0.032175657,[603579],62,59:52.4
mp-1188428,La6Mn2S10,La3MnS5,-121.3159361,0.102478864,[168592],193,58:33.6
mp-1188483,Ca4B8H8,Ca(BH)2,-89.97952491,0.382970175,[168231],14,59:52.4
mp-1188730,Pr2Ho6S12,Pr(HoS2)3,-128.3679694,0,[639588],11,58:33.6
mp-1183704,Co1Rh3,CoRh3,-28.93930623,0.065483794,[],221,58:25.9
mp-1183989,Cs2Pb6,CsPb3,-24.85417017,0.057196884,[],194,59:50.2
mp-1184024,Ga2Hg6,GaHg3,-7.35765227,0.065077746,[],194,58:27.8
mp-1184059,Dy3Hg1,Dy3Hg,-14.727295,0.092347217,[],221,58:27.8
mp-1184121,Cu1Ru3,CuRu3,-30.82292316,0.274863119,[],139,58:27.8
mp-1184292,Ga3P1,Ga3P,-13.92559238,0.347918886,[],139,58:27.8
mp-11843,Dy1Al1,DyAl,-9.13589895,0.023857906,"[57736, 181162]",221,56:51.2
mp-1184350,Er1U1,ErU,-15.00110966,0.42900958,[],187,58:27.8
mp-1184420,Eu5Mg1,Eu5Mg,-52.84925689,0.060986492,[],38,59:50.2
mp-1184432,Eu6Lu2,Eu3Lu,-69.88742486,0.113342129,[],194,59:50.2
mp-1184544,Gd1Np3,GdNp3,-50.21958543,0.674968963,[],221,58:27.8
mp-1184705,Hg2Au6,HgAu3,-19.82067705,0.053746615,[],194,58:27.8
mp-1185139,K3V1,K3V,-8.88672518,0.882094433,[],139,58:29.7
mp-1185162,La1Yb3,LaYb3,-9.16574167,0.097272569,[],225,58:29.7
mp-1185165,La3Ru1,La3Ru,-23.55997211,0.369308457,[],139,59:50.2
mp-1185214,Li6Ni2,Li3Ni,-22.26331234,0.093812278,[],194,59:50.2
mp-1185287,Li1Ac3,LiAc3,-13.60524398,0.166800977,[],221,59:50.2
mp-1185460,La2Gd6,LaGd3,-94.20284255,0.015738137,[],194,59:50.2
mp-1185528,La6Eu2,La3Eu,-49.51721977,0.085363726,[],194,59:52.4
mp-1185555,Mg149Ru1,Mg149Ru,-251.2942928,0,[],187,59:52.4
mp-1185581,Mg149Cd1,Mg149Cd,-243.7273635,0,[],187,59:52.4
mp-1185785,Mg6Os2,Mg3Os,-30.67472709,0.172710715,[],194,59:52.4
mp-1185811,Mg5Ge1,Mg5Ge,-12.72754158,0.117237217,[],155,59:52.4
mp-1185816,Mg5Pd1,Mg5Pd,-14.63060058,0.047241731,[],189,59:52.4
mp-1185858,Mg1Cr1,MgCr,-10.07523162,0.598779505,[],123,59:52.4
mp-1185920,Mg2In4,MgIn2,-14.34275728,0.040629343,[],12,59:52.4
mp-1185933,Mn3Cd1,Mn3Cd,-26.30012024,0.527203849,[],225,58:29.7
mp-1185936,Mg2Pb4,MgPb2,-18.01482682,0.034266805,[],12,59:52.4
mp-1186016,Mo3Pt1,Mo3Pt,-38.94975482,0.073922407,[],221,58:29.7
mp-1186063,Mn2Co6,MnCo3,-60.36048485,0.089610304,[],194,58:29.7
mp-1186065,Na3Ce1,Na3Ce,-8.04307154,0.464398374,[],225,58:29.7
mp-1186068,Na3Sc1,Na3Sc,-8.592934,0.426777746,[],221,58:29.7
mp-1186267,Nd6Er2,Nd3Er,-37.52917901,0.026889734,[],194,59:52.4
mp-1186446,Pb2C2,PbC,-19.93300627,1.486462318,[],186,58:29.7
mp-1186494,Pm3Au1,Pm3Au,-18.3612441,0.023008567,[],139,59:52.4
mp-1186499,Pm6Ag2,Pm3Ag,-34.02274115,0.085968348,[],194,58:29.7
mp-1186511,Pm3Cu1,Pm3Cu,-17.73513964,0.195769682,[],139,59:52.4
mp-1186769,Sr1Y1,SrY,-7.69889965,0.228532458,[],187,58:29.7
mp-1186782,Sr2Th6,SrTh3,-45.25072417,0.32642653,[],194,59:52.4
mp-1186823,Pu2Pt6,PuPt3,-70.39134266,0,[],194,58:29.7
mp-1186849,Rb6Ge2,Rb3Ge,-13.46633776,0.297142884,[],194,59:52.4
mp-1186969,Rb1Np3,RbNp3,-33.32556731,1.624576452,[],139,59:52.4
mp-1186995,Sc2Sb6,ScSb3,-39.28716096,0.140408352,[],194,58:31.6
mp-1187036,Sn3Rh1,Sn3Rh,-18.98761936,0.425742779,[],225,58:31.6
mp-1187084,Sm1Pu3,SmPu3,-46.51849867,0.250900614,[],139,58:31.6
mp-1187093,Sn2Ir6,SnIr3,-60.74234112,0.159913417,[],194,58:31.6
mp-1187187,Sr1Lu1,SrLu,-5.61716487,0.296639552,[],187,58:31.6
mp-1187297,Tb6Ce2,Tb3Ce,-39.06932238,0.075381566,[],194,59:52.4
mp-1187330,Tb3Np1,Tb3Np,-25.24646781,0.401102543,[],221,58:31.6
mp-1187380,Tb1Ta3,TbTa3,-38.5574717,0.412556822,[],225,58:31.6
mp-1187405,Th3Cd1,Th3Cd,-23.2084324,0.056220964,[],139,58:31.6
mp-1187539,Tl3Ga1,Tl3Ga,-9.72704,0.097246366,[],225,58:31.6
mp-1187640,Tm5Mg1,Tm5Mg,-23.85397393,0.04114531,[],155,59:52.4
mp-1187647,Tm3Sn1,Tm3Sn,-18.94428476,0.087243897,[],139,58:31.6
mp-1187673,Tm2Os6,TmOs3,-73.84384278,0.583775792,[],194,58:31.6
mp-1187824,Y2Bi6,YBi3,-39.05141845,0.097607419,[],194,58:31.6
mp-1187831,Yb1Eu3,YbEu3,-32.27472049,0.035254554,[],139,58:31.6
mp-1187849,Y1Ho3,YHo3,-20.10177576,0.027980491,[],139,58:31.6
mp-1187855,Y2O2,YO,-33.83527888,0.213996404,[],194,58:31.6
mp-1188043,Zr6Pt2,Zr3Pt,-66.68096165,0.134909934,[],194,58:31.6
mp-1188147,B16Os4,B4Os,-138.6814916,0.782713044,[182097],194,59:52.4
mp-1188155,Re4P12,ReP3,-120.1007027,0.012700298,[647985],62,58:31.6
mp-1188446,Sm10Tl6,Sm5Tl3,-66.42675308,0,[652684],140,59:52.4
mp-1188462,Ta10Ga6,Ta5Ga3,-140.6772419,0.014918429,[635482],140,59:52.4
mp-1188476,Ho12Pt4,Ho3Pt,-90.76101825,0,[639596],62,58:33.6
mp-1188532,Lu8S12,Lu2S3,-126.1022933,0.032162098,[642574],62,58:33.6
mp-1188785,Hf9Ni11,Hf9Ni11,-162.3156358,0.066967863,[638706],87,59:52.4
mp-1189726,Tm4Zn12,TmZn3,-38.73051271,0,[653351],62,58:33.6
mp-1190042,U6S10,U3S5,-129.6402194,0.159045123,[651313],140,58:33.6
mp-1190609,V8O16,VO2,-185.3478555,0.059391078,"[281368, 281366]",62,57:59.5
mp-1192314,Hf8Bi16,HfBi2,-144.4351269,0.009702925,[616683],58,58:35.6
mp-1193047,Cr6Cl18,CrCl3,-110.6552568,0.322718156,[35319],12,58:35.6
mp-1193506,Mn24C4,Mn6C,-254.6046835,0.143469546,[187037],227,59:56.9
mp-1193674,Dy6Zn23,Dy6Zn23,-65.75969471,0.016992632,[630373],225,58:35.6
mp-1194842,Mo24P2,Mo12P,-260.7368232,0.507097034,[90636],146,59:56.9
